DGUID,Total_jobs_125,HHI_125
2021S051235010369,672005,1001.8
2021S051235010370,683090,995.71
2021S051235010371,682675,995.73
2021S051235010372,682675,995.73
2021S051235010373,682675,995.73
2021S051235010374,678260,997.56
2021S051235010375,677715,997.83
2021S051235010376,650930,1008.59
2021S051235010378,652025,1008.16
2021S051235010379,648500,1009.52
2021S051235010380,656780,1006.04
2021S051235010381,656780,1006.04
2021S051235010382,658985,1005.52
2021S051235010383,647715,1009.96
2021S051235010384,648320,1009.67
2021S051235010385,647660,1009.87
2021S051235010387,648320,1009.67
2021S051235010388,646680,1010.31
2021S051235010389,652230,1007.82
2021S051235010390,654155,1007.23
2021S051235010391,650040,1008.92
2021S051235010393,645990,1010.8
2021S051235010394,645315,1011.35
2021S051235010395,648190,1009.56
2021S051235010396,647365,1010.13
2021S051235010397,645175,1011.2
2021S051235010398,645975,1010.69
2021S051235010399,649405,1009.39
2021S051235010400,653430,1008.21
2021S051235010401,664795,1004.19
2021S051235010402,650640,1009.51
2021S051235010403,640235,1014.33
2021S051235010404,630850,1017.67
2021S051235010405,633290,1016.92
2021S051235010406,637380,1016.19
2021S051235010407,680310,996.81
2021S051235010408,678835,997.52
2021S051235010409,663305,1006.64
2021S051235010410,671980,1001.67
2021S051235010411,779720,978.37
2021S051235010412,787600,977.04
2021S051235020064,702695,987.12
2021S051235020065,702340,987.34
2021S051235020066,702165,987.39
2021S051235020067,702165,987.39
2021S051235020068,702045,987.41
2021S051235020069,702045,987.41
2021S051235020070,702045,987.41
2021S051235020071,702045,987.41
2021S051235020072,702045,987.41
2021S051235020073,701290,987.76
2021S051235020075,702045,987.41
2021S051235020076,702930,987.05
2021S051235020077,702505,987.28
2021S051235020078,702815,987.16
2021S051235020091,702045,987.41
2021S051235020092,630985,1022.24
2021S051235020093,633050,1020.99
2021S051235020094,639910,1018.13
2021S051235020095,639115,1018.55
2021S051235020096,649240,1014.25
2021S051235020097,654325,1011.07
2021S051235020098,663615,1007.02
2021S051235020099,674785,1001.46
2021S051235020100,675090,1001.45
2021S051235020101,678605,999.35
2021S051235020102,679705,999.03
2021S051235020103,684945,996.19
2021S051235020104,688025,994.88
2021S051235020105,685935,995.97
2021S051235020106,690230,993.68
2021S051235020107,693485,992.04
2021S051235020108,694380,991.87
2021S051235020109,669240,1004.3
2021S051235020110,698425,989.38
2021S051235020111,697730,989.72
2021S051235020112,698070,989.56
2021S051235020113,700780,987.93
2021S051235020114,699675,988.56
2021S051235020115,699550,988.83
2021S051235020116,702410,987.13
2021S051235020117,702220,987.24
2021S051235020118,703675,986.62
2021S051235020119,703840,986.36
2021S051235020120,702730,987
2021S051235020121,702520,987.02
2021S051235020122,700515,988.34
2021S051235020123,699395,988.89
2021S051235020124,700425,988.25
2021S051235020125,699005,989.08
2021S051235020126,698865,989.11
2021S051235020127,692900,991.96
2021S051235020128,690310,993.41
2021S051235020129,694640,990.91
2021S051235020130,700005,988.46
2021S051235020131,697905,989.3
2021S051235020132,701075,987.77
2021S051235020133,698870,988.67
2021S051235020134,697730,989.37
2021S051235020135,698035,989.09
2021S051235020136,697575,989.37
2021S051235020137,699925,988.31
2021S051235020138,703410,986.91
2021S051235020139,703800,986.73
2021S051235020140,702865,986.91
2021S051235020141,704720,986.33
2021S051235020142,705460,985.83
2021S051235020143,703315,986.82
2021S051235020144,706135,985.5
