DAUID,DGUID,Total_jobs_75,HHI_75,simpsons_75,Total_jobs_100,HHI_100,simpsons_100,Total_jobs_125,HHI_125,simpsons_125,Total_jobs_150,HHI_150,simpsons_150
35010155,2021S051235010155,165290,985.4507067386841,0.9014549293261316,535605,1035.8299975941395,0.896417000240586,636790,1017.8735993004174,0.8982126400699583,689690,993.5723477590185,0.9006427652240981
35010156,2021S051235010156,128600,950.5381860882479,0.9049461813911752,523800,1036.6113399291837,0.8963388660070817,632370,1020.0741369559142,0.8979925863044086,688575,994.2095978941275,0.9005790402105872
35010157,2021S051235010157,176505,983.5021015882687,0.9016497898411732,571610,1031.1912117550164,0.8968808788244984,663725,1006.1785717542235,0.8993821428245776,692510,992.0617901341094,0.9007938209865891
35010158,2021S051235010158,99695,907.1277155090315,0.9092872284490968,494660,1041.3526024104092,0.8958647397589591,631680,1019.9870824698569,0.8980012917530142,685960,995.1320841158126,0.9004867915884187
35010159,2021S051235010159,99160,909.2864023102654,0.9090713597689735,498895,1040.7167018577677,0.8959283298142232,640810,1014.846917419329,0.8985153082580671,687835,994.4919236777253,0.9005508076322275
35010160,2021S051235010160,140790,952.8523916222222,0.9047147608377778,547125,1032.3339921137394,0.896766600788626,660445,1006.5711410365128,0.8993428858963487,692620,991.872215313334,0.9008127784686666
35010161,2021S051235010161,105325,905.4735635954157,0.9094526436404584,529835,1033.2168128915878,0.8966783187108412,651365,1009.2482703848367,0.8990751729615163,690885,993.0962402729507,0.900690375972705
35010162,2021S051235010162,167200,968.8921527666491,0.9031107847233351,573240,1028.276380202996,0.8971723619797004,668535,1003.2960043152246,0.8996703995684775,695650,990.1657768760452,0.9009834223123955
35010163,2021S051235010163,139435,946.0444377045528,0.9053955562295447,557195,1030.1436812589457,0.8969856318741054,664150,1004.9000802768841,0.8995099919723116,694595,990.7049606277195,0.900929503937228
35010164,2021S051235010164,184985,971.5982440217593,0.902840175597824,599635,1025.8834695453768,0.8974116530454623,671885,1001.5421834353662,0.8998457816564633,698090,989.0862743099335,0.9010913725690066
35010165,2021S051235010165,143145,939.7989158241755,0.9060201084175824,575610,1025.97092365452,0.897402907634548,671525,1001.281432474065,0.8998718567525935,697610,989.4215619826318,0.9010578438017368
35010166,2021S051235010166,218305,974.5184565916803,0.902548154340832,620110,1024.0712091462299,0.897592879085377,677085,998.5578623893254,0.9001442137610675,702080,987.8309977196162,0.9012169002280384
35010167,2021S051235010167,223595,970.9986842956674,0.9029001315704333,631455,1017.4987872335466,0.8982501212766454,680845,996.9375471075518,0.9003062452892449,703550,987.3354427643748,0.9012664557235626
35010168,2021S051235010168,154290,943.6570329003573,0.9056342967099643,598125,1024.000779167745,0.8975999220832255,674175,999.803896511853,0.9000196103488147,701175,988.1929775062707,0.901180702249373
35010169,2021S051235010169,146390,926.6448788940452,0.9073355121105955,608945,1019.2026163383421,0.8980797383661658,677580,998.1318034873347,0.9001868196512666,702780,987.673069957493,0.9012326930042507
35010170,2021S051235010170,109985,901.9558678862772,0.9098044132113723,569640,1024.028589162472,0.8975971410837528,671495,1000.9601616998914,0.8999039838300109,700385,988.4917462848233,0.9011508253715177
35010171,2021S051235010171,100320,899.2072656176472,0.9100792734382352,535140,1029.7346146281081,0.8970265385371892,664400,1004.0273783663976,0.8995972621633602,699570,988.9630508108572,0.9011036949189143
35010172,2021S051235010172,106655,899.054584681201,0.9100945415318799,569260,1021.4057249856045,0.8978594275014395,671670,1000.8319182738912,0.8999168081726109,701320,988.3263222382039,0.9011673677761796
35010173,2021S051235010173,98085,898.8299405605935,0.9101170059439406,536260,1028.7369955793718,0.8971263004420629,665755,1003.2261842119236,0.8996773815788076,699545,988.9898858401001,0.90110101141599
35010174,2021S051235010174,103060,895.6063795801135,0.9104393620419886,569695,1021.0827923997866,0.8978917207600213,672935,1000.0613405002134,0.8999938659499787,701585,988.1425124054066,0.9011857487594593
35010175,2021S051235010175,102465,896.3875057493451,0.9103612494250655,568290,1021.0602978213482,0.8978939702178652,672625,1000.2338713986085,0.8999766128601392,701320,988.3263222382039,0.9011673677761796
35010176,2021S051235010176,93200,902.5532911823758,0.9097446708817625,481085,1025.0951643194016,0.8974904835680598,656120,1006.309714055434,0.8993690285944566,695365,990.8833353953827,0.9009116664604617
35010177,2021S051235010177,92440,903.0019074203652,0.9096998092579635,475400,1025.4625956327723,0.8974537404367228,654465,1006.8063009682422,0.8993193699031758,694135,991.4115130351814,0.9008588486964819
35010178,2021S051235010178,94680,900.761725753473,0.9099238274246527,497375,1030.132755902896,0.8969867244097104,660735,1004.9274454900284,0.8995072554509972,696235,990.5848680120529,0.9009415131987947
35010179,2021S051235010179,115655,900.0046446720212,0.9099995355327979,584340,1019.4303617839257,0.8980569638216074,674970,999.1360441384146,0.9000863955861585,702045,988.0503318342238,0.9011949668165776
35010180,2021S051235010180,117180,899.0848430172547,0.9100915156982745,590835,1018.207123962361,0.8981792876037639,676820,998.3534477539821,0.9001646552246018,702665,987.9633869692889,0.9012036613030712
35010181,2021S051235010181,119655,898.1369156855818,0.9101863084314419,597680,1018.4565284298054,0.8981543471570195,677285,998.062452654147,0.9001937547345853,703070,987.7912487330717,0.9012208751266928
35010182,2021S051235010182,122050,897.0614154849197,0.910293858451508,601050,1018.5446784988427,0.8981455321501157,678260,997.5638774550481,0.9002436122544952,703070,987.7912487330717,0.9012208751266928
35010183,2021S051235010183,123235,897.1816466488725,0.9102818353351128,605345,1018.648613187006,0.8981351386812995,678715,997.3588542817228,0.9002641145718278,703070,987.7912487330717,0.9012208751266928
35010184,2021S051235010184,122595,896.2919760248521,0.9103708023975148,604755,1018.5988914691006,0.89814011085309,678935,997.3183151260002,0.9002681684874,703070,987.7912487330717,0.9012208751266928
35010185,2021S051235010185,123305,897.3064890074447,0.9102693510992556,606005,1018.5098044721165,0.8981490195527884,678935,997.3183151260002,0.9002681684874,703070,987.7912487330717,0.9012208751266928
35010186,2021S051235010186,123715,896.9614744614446,0.9103038525538556,607310,1018.20002565707,0.898179997434293,679150,997.3920059323822,0.9002607994067617,703070,987.7912487330717,0.9012208751266928
35010187,2021S051235010187,122850,896.9983844220718,0.9103001615577928,605330,1018.1159659093879,0.8981884034090613,678935,997.3183151260002,0.9002681684874,703305,987.8466672384596,0.901215333276154
35010188,2021S051235010188,121950,896.9582873360508,0.9103041712663948,600700,1018.3655193462354,0.8981634480653765,678630,997.5007649569246,0.9002499235043075,703070,987.7912487330717,0.9012208751266928
35010189,2021S051235010189,121435,897.4419247410899,0.910255807525891,598465,1018.3912314987256,0.8981608768501275,678480,997.5231926172017,0.9002476807382799,703070,987.7912487330717,0.9012208751266928
35010190,2021S051235010190,118000,897.6071172076989,0.9102392882792301,596485,1018.3799614270567,0.8981620038572944,678270,997.68697760283,0.900231302239717,703070,987.7912487330717,0.9012208751266928
35010191,2021S051235010191,119335,897.9071987436473,0.9102092801256353,596935,1018.3958574272042,0.8981604142572795,678630,997.5007649569246,0.9002499235043075,703070,987.7912487330717,0.9012208751266928
35010192,2021S051235010192,120930,896.6263545507104,0.910337364544929,600765,1017.6214173649029,0.8982378582635098,678630,997.5007649569246,0.9002499235043075,703305,987.8466672384596,0.901215333276154
35010193,2021S051235010193,123650,897.2058114412853,0.9102794188558715,606580,1018.0275011799473,0.8981972498820052,679140,997.3397121428876,0.9002660287857113,704000,987.4635635249871,0.9012536436475013
35010194,2021S051235010194,124375,896.8203267594253,0.9103179673240575,606895,1018.0737711035699,0.898192622889643,679140,997.3397121428876,0.9002660287857113,704000,987.4635635249871,0.9012536436475013
35010195,2021S051235010195,124060,896.8612432362233,0.9103138756763777,607100,1018.0772976322218,0.8981922702367778,679140,997.3397121428876,0.9002660287857113,704000,987.4635635249871,0.9012536436475013
35010196,2021S051235010196,124375,896.8203267594253,0.9103179673240575,608295,1017.8693666970458,0.8982130633302954,679355,997.4133992970458,0.9002586600702954,704000,987.4635635249871,0.9012536436475013
35010197,2021S051235010197,125480,895.7868600004736,0.9104213139999526,609405,1017.4685002015871,0.8982531499798413,679815,997.1045926462048,0.9002895407353795,704385,987.2183456521774,0.9012781654347822
35010198,2021S051235010198,124220,896.9112326121891,0.910308876738781,608650,1017.7404506591353,0.8982259549340865,679670,997.2461407176673,0.9002753859282333,704385,987.2183456521774,0.9012781654347822
35010199,2021S051235010199,125480,895.7868600004736,0.9104213139999526,615035,1017.3836238712338,0.8982616376128766,679815,997.1045926462048,0.9002895407353795,704600,987.093672141442,0.9012906327858559
35010200,2021S051235010200,125480,895.7868600004736,0.9104213139999526,612505,1017.5729874952431,0.8982427012504757,679815,997.1045926462048,0.9002895407353795,704850,987.1391876214482,0.9012860812378551
35010201,2021S051235010201,106445,895.1356703116488,0.9104864329688351,579340,1019.4298779753957,0.8980570122024605,674735,999.2566027475183,0.9000743397252482,702045,988.0503318342238,0.9011949668165776
35010202,2021S051235010202,126650,897.2559763432209,0.9102744023656779,616425,1017.0753220456307,0.8982924677954369,680215,996.9888908142614,0.9003011109185739,704850,987.1391876214482,0.9012860812378551
35010203,2021S051235010203,126545,896.9224622474544,0.9103077537752545,616160,1017.1448978506763,0.8982855102149323,679995,997.0558730644689,0.9002944126935531,704600,987.093672141442,0.9012906327858559
35010204,2021S051235010204,128110,898.909230911611,0.9101090769088389,617960,1016.8412851933733,0.8983158714806627,680215,996.9888908142614,0.9003011109185739,704850,987.1391876214482,0.9012860812378551
35010205,2021S051235010205,126545,896.9224622474544,0.9103077537752545,617275,1016.883177716854,0.8983116822283146,679995,997.0558730644689,0.9002944126935531,704600,987.093672141442,0.9012906327858559
35010206,2021S051235010206,128285,898.5256248575752,0.9101474375142424,617960,1016.8412851933733,0.8983158714806627,680215,996.9888908142614,0.9003011109185739,704600,987.093672141442,0.9012906327858559
35010207,2021S051235010207,128250,898.8569018387425,0.9101143098161257,617390,1016.8881193179054,0.8983111880682094,679995,997.0558730644689,0.9002944126935531,704600,987.093672141442,0.9012906327858559
35010208,2021S051235010208,132425,900.9791466019801,0.909902085339802,619970,1017.1568608735258,0.8982843139126474,680650,996.9773654541558,0.9003022634545844,704600,987.093672141442,0.9012906327858559
35010209,2021S051235010209,132425,900.9791466019801,0.909902085339802,619970,1017.1568608735258,0.8982843139126474,680650,996.9773654541558,0.9003022634545844,704850,987.1391876214482,0.9012860812378551
35010210,2021S051235010210,131945,900.3013028871948,0.9099698697112806,619970,1017.1568608735258,0.8982843139126474,680650,996.9773654541558,0.9003022634545844,704850,987.1391876214482,0.9012860812378551
35010211,2021S051235010211,137495,901.8300426453097,0.909816995735469,620815,1017.1515550753102,0.8982848444924689,681240,996.6623392368041,0.9003337660763195,704850,987.1391876214482,0.9012860812378551
35010212,2021S051235010212,140295,905.3919430495034,0.9094608056950497,621220,1017.0476924481763,0.8982952307551824,681790,996.2047883294301,0.900379521167057,704850,987.1391876214482,0.9012860812378551
35010213,2021S051235010213,141305,906.715372146481,0.909328462785352,621035,1017.1031465281675,0.8982896853471832,681240,996.6623392368041,0.9003337660763195,704850,987.1391876214482,0.9012860812378551
35010214,2021S051235010214,153920,919.6418278348015,0.9080358172165198,623025,1016.6984571047891,0.8983301542895211,681790,996.2047883294301,0.900379521167057,704850,987.1391876214482,0.9012860812378551
35010215,2021S051235010215,154325,919.6951477026055,0.9080304852297394,621675,1017.0504746408249,0.8982949525359175,681515,996.4335317087251,0.9003566468291275,704850,987.1391876214482,0.9012860812378551
35010216,2021S051235010216,157800,924.1920955277011,0.90758079044723,623610,1017.0312146674557,0.8982968785332545,681915,996.2135076806139,0.9003786492319386,704850,987.1391876214482,0.9012860812378551
35010217,2021S051235010217,161475,927.9199886496891,0.9072080011350311,629315,1016.4140256201603,0.898358597437984,681915,996.2135076806139,0.9003786492319386,705150,987.0024420822789,0.9012997557917721
35010218,2021S051235010218,162125,926.5548430664679,0.9073445156933532,631640,1015.698955290696,0.8984301044709304,682475,995.8281458505217,0.9004171854149479,705815,986.9291214869423,0.9013070878513058
35010219,2021S051235010219,158330,924.4759243383209,0.907552407566168,628880,1016.2316650661139,0.8983768334933886,682190,995.98516530966765,0.9004014834690333,705925,986.9046334922602,0.901309536650774
35010220,2021S051235010220,159120,924.3792917671122,0.9075620708232888,631490,1015.4724378804834,0.8984527562119516,682675,995.7281202240368,0.9004271879775962,706180,986.8305884092217,0.9013169411590778
35010221,2021S051235010221,155440,920.4872976590418,0.9079512702340958,623330,1016.6091105204819,0.8983390889479518,682075,996.0475367519692,0.9003952463248031,705625,987.0410809004261,0.9012958919099574
35010222,2021S051235010222,157305,921.2198195225209,0.9078780180477479,631490,1015.4724378804834,0.8984527562119516,682675,995.7281202240368,0.9004271879775962,706515,986.7687667472867,0.9013231233252713
35010223,2021S051235010223,159195,923.8229445370748,0.9076177055462925,631960,1015.5251620517372,0.8984474837948263,682675,995.7281202240368,0.9004271879775962,706515,986.7687667472867,0.9013231233252713
35010224,2021S051235010224,162125,926.5548430664679,0.9073445156933532,632860,1015.4383197072888,0.8984561680292711,682675,995.7281202240368,0.9004271879775962,706515,986.7687667472867,0.9013231233252713
